timestamp,symbol,feature_vector,prediction_probability,actual_outcome,correct
2024-04-25 04:00:00+00:00,PHAUSDT,0.982639;0.072917;0.451389;0.746528;0.559028;0.996528;0.131944;0.888889;0.184028;0.246528;0.760417;0.916667;0.805556;0.770833;0.920139;0.489583;0.715278;0.604167;0.906250;0.336806;0.460069;0.086806;0.059028;0.930556;0.906250;0.743056;0.607639,0.615123,0,0
2024-04-25 04:00:00+00:00,BELUSDT,0.694444;0.277778;0.687500;0.569444;0.902778;0.913194;0.909722;0.343750;0.055556;0.982639;0.204861;0.562500;0.572917;0.687500;0.430556;0.388889;0.527778;0.513889;0.732639;0.194444;0.296875;0.170139;0.600694;0.197917;0.416667;0.680556;0.614583,0.607607,1,1
2024-04-25 04:00:00+00:00,BONKUSDT,0.826389;0.975694;0.989583;0.295139;0.381944;0.305556;0.315972;0.354167;0.829861;0.437500;0.760417;0.923611;0.937500;0.979167;0.243056;0.972222;0.930556;0.947917;0.958333;0.076389;0.777778;0.831597;0.180556;0.350694;0.649306;0.892361;0.010417,0.393382,0,1
2024-04-25 04:00:00+00:00,BTTCUSDT,0.996528;0.968750;0.888889;0.833333;0.937500;0.836806;0.875000;0.715278;0.055556;0.885417;0.760417;0.975694;0.965278;0.951389;0.965278;0.944444;0.954861;0.958333;0.774306;0.850694;0.777778;0.687500;0.930556;0.618056;0.003472;0.937500;0.017361,0.330126,1,0
2024-04-25 04:00:00+00:00,PROMUSDT,0.128472;0.774306;0.812500;0.343750;0.777778;0.288194;0.684028;0.458333;0.815972;0.336806;0.204861;0.767361;0.177083;0.784722;0.565972;0.850694;0.788194;0.784722;0.090278;0.201389;0.777778;0.447917;0.364583;0.465278;0.993056;0.118056;0.927083,0.655596,1,1
2024-04-25 04:00:00+00:00,USDPUSDT,0.413194;0.920139;0.631944;0.958333;0.003472;0.020833;0.815972;0.986111;0.055556;0.079861;0.463542;0.017361;0.020833;0.020833;0.774306;0.996528;1.000000;0.994792;0.013889;0.965278;0.887153;0.447917;0.826389;0.979167;0.961806;0.020833;0.812500,0.348144,0,1
2024-04-25 04:00:00+00:00,HIVEUSDT,0.513889;0.958333;0.993056;0.906250;0.923611;0.038194;0.968750;0.135417;0.392361;0.940972;0.760417;1.000000;1.000000;0.986111;1.000000;0.930556;0.899306;0.916667;0.996528;0.961806;0.942708;0.998264;0.013889;0.986111;1.000000;0.996528;0.562500,0.382281,0,1
2024-04-25 08:00:00+00:00,COSUSDT,1.000000;0.027778;1.000000;1.000000;0.829861;0.788194;0.770833;0.309028;0.888889;0.274306;0.963542;1.000000;1.000000;1.000000;0.875000;0.656250;0.545139;0.076389;1.000000;0.979167;0.065972;0.475694;0.003472;0.968750;0.871528;1.000000;0.069444,0.311682,0,1
2024-04-25 08:00:00+00:00,OPUSDT,0.354167;0.611111;0.131944;0.541667;0.607639;0.524306;0.357639;0.680556;0.715278;0.126736;0.435764;0.305556;0.340278;0.315972;0.326389;0.388889;0.475694;0.531250;0.458333;0.447917;0.748264;0.289931;0.788194;0.315972;0.520833;0.368056;0.343750,0.642976,0,0
2024-04-25 08:00:00+00:00,LUNAUSDT,0.423611;0.444444;0.486111;0.375000;0.076389;0.072917;0.527778;0.916667;0.284722;0.126736;0.435764;0.284722;0.381944;0.378472;0.250000;0.416667;0.427083;0.447917;0.340278;0.423611;0.855903;0.756944;0.444444;0.093750;0.815972;0.541667;0.354167,0.605803,0,0
2024-04-25 08:00:00+00:00,AUCTIONUSDT,0.038194;0.663194;0.045139;0.166667;0.802083;0.149306;0.954861;0.916667;0.284722;0.126736;0.435764;0.857639;0.840278;0.611111;0.871528;0.062500;0.059028;0.086806;0.684028;0.277778;0.604167;0.215278;0.965278;0.187500;0.145833;0.732639;0.909722,0.612902,0,0
2024-04-25 08:00:00+00:00,ALTUSDT,0.180556;0.777778;0.600694;0.111111;0.361111;0.177083;0.312500;0.767361;0.590278;0.284722;0.435764;0.732639;0.618056;0.767361;0.628472;0.430556;0.277778;0.277778;0.798611;0.371528;0.352431;0.081597;0.621528;0.222222;0.736111;0.444444;0.232639,0.627027,0,0
2024-04-25 08:00:00+00:00,DGBUSDT,0.725694;0.385417;0.548611;0.274306;0.072917;0.208333;0.777778;0.267361;0.937500;0.126736;0.435764;0.451389;0.659722;0.468750;0.440972;0.572917;0.565972;0.496528;0.510417;0.128472;0.352431;0.829861;0.253472;0.173611;0.704861;0.798611;0.243056,0.65068,0,0
